"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-05-31,67959,"24066","VA","Roanoke","Botetourt","Buchanan",9954,126400,-0.000790513833992095,-0.0155763239875389,-0.0358504958047292,0.012649776047996,-0.00656071359466259,"2009-02","2009-Q1",157700,-0.198478123018389,"2005-10"
2016-05-31,98401,"95722","CA","Sacramento","Placer","Meadow Vista",9955,462500,0.0102664919178681,0.0386256456321581,0.114995178399229,0.0884785202890179,-0.0143827897680923,"2005-09","2005-Q3",550400,-0.159702034883721,"2004-12"
2016-05-31,65639,"18925","PA","Philadelphia","Bucks","Buckingham",9956,425000,0.00141376060320452,0.00330500472143532,-0.00328330206378987,0.00696680405701855,-0.0102242656837408,"2007-04","2007-Q2",491600,-0.135475996745321,"2004-10"
2016-05-31,61154,"08730","NJ","New York","Monmouth","Brielle",9957,588300,-0.00169692855930765,-0.00220488466757123,0.0351926799225761,0.0148125845441267,-0.0154903386037654,"2007-02","2007-Q1",711900,-0.17361989043405,"2005-01"
2016-05-31,73579,"35739","AL","Huntsville","Madison","Ardmore",9958,143700,0,0.00349162011173184,0.00700770847932726,-0.00041701432355068,0.00182756138103346,"2007-04","2007-Q2",160600,-0.105230386052304,"2006-06"
2016-05-31,74833,"38468","TN","Lawrenceburg","Lawrence","Leoma",9959,98900,0.0154004106776181,0.0432489451476793,0.105027932960894,0.0376834609415082,0.0164632947382128,"2016-05","2016-Q2",98900,0,"2016-05"
2016-05-31,65998,"19543","PA","Reading","Berks","Caernarvon Township",9960,243100,0.00206100577081616,0.00704225352112676,0.0146076794657763,0.00190304206797975,-0.0105499123434413,"2006-09","2006-Q3",278700,-0.127735916756369,"2005-08"
2016-05-31,58830,"02638","MA","Cape Cod","Barnstable","Dennis",9961,451900,0.0017734426956329,0.00735621934908605,-0.00330833700926334,0.0191050951562246,-0.0019050901047255,"2005-04","2005-Q2",465600,-0.0294243986254296,"2004-09"
2016-05-31,81183,"53061","WI","Appleton","Calumet","Town of New Holstein",9962,115800,-0.000862812769628991,0,0.0508166969147005,0.013669220824218,0.00533458208754212,"2005-05","2005-Q2",120100,-0.0358034970857619,"2005-01"
2016-05-31,81339,"53508","WI","Madison","Dane","Belleville",9963,195000,-0.00357690342360756,0.0036026762738034,0.0372340425531915,0.0138942140146645,-0.000613310704806969,"2007-08","2007-Q3",200900,-0.0293678446988552,"2007-05"
2016-05-31,64920,"17090","PA","Harrisburg","Perry","Carroll Township",9964,167700,-0.00474777448071217,-0.00945067926757236,-0.0204439252336449,-0.00260327755038559,0.00546800727976238,"2012-10","2012-Q4",175700,-0.0455321570859419,"2012-05"
2016-05-31,63919,"15135","PA","Pittsburgh","Allegheny","Elizabeth Township",9965,113700,-0.0035056967572305,-0.005249343832021,0.00264550264550265,0.0143151235590497,0.0109182323214676,"2016-03","2016-Q1",114300,-0.005249343832021,"2016-01"
2016-05-31,99807,"98443","WA","Seattle","Pierce","Waller",9966,277100,0.00910415149308084,0.0293462109955423,0.0892295597484277,0.0442114886419303,-0.00593644860978493,"2007-01","2007-Q1",319700,-0.133249921801689,"2006-01"
2016-05-31,62423,"12143","NY","Albany","Albany","Town of Coeymans",9967,156600,-0.00381679389312977,0.00127877237851662,0.00384615384615385,-0.00687995304547506,-0.00436341657586092,"2007-10","2007-Q4",176900,-0.114754098360656,"2005-08"
2016-05-31,99666,"98257","WA","Mount Vernon","Skagit","La Conner",9968,267400,0.0071563088512241,0.0194433854365231,0.0713141025641026,0.0244307625416613,-0.00505478643458268,"2008-02","2008-Q1",307700,-0.130971725706857,"2006-01"
2016-05-31,79648,"49265","MI","Adrian","Lenawee","Onsted",9969,158100,0.00444726810673443,0.0186855670103093,-0.0143391521197007,0.0376892100555311,-0.00723080033978307,"2006-02","2006-Q1",171400,-0.0775962660443407,"2002-10"
2016-05-31,59143,"03470","NH","Keene","Cheshire","Town of Winchester",9970,141600,0.00568181818181818,0.0114285714285714,-0.0419485791610284,-0.00582887347656391,-0.00790762935412848,"2008-01","2008-Q1",158100,-0.104364326375712,"2005-06"
2016-05-31,67452,"22947","VA","Charlottesville","Albemarle","Keswick",9971,464000,0.00411166414196061,0.0200043965706749,0.045045045045045,0.0220309624352186,-0.0107001302450247,"2006-09","2006-Q3",539200,-0.13946587537092,"2005-04"
2016-05-31,58805,"02556","MA","Cape Cod","Barnstable","North Falmouth",9972,492900,0.00182926829268293,0.0104551045510455,-0.00182260024301337,0.0198331640929326,-0.0101428403610383,"2006-04","2006-Q2",546400,-0.097913616398243,"2004-05"
2016-05-31,84762,"61016","IL","Rockford","Winnebago","Cherry Valley",9973,147700,0.00544588155207624,0.0200276243093923,0.0249826509368494,-0.00559214940698105,-0.0157433839537841,"2008-02","2008-Q1",179300,-0.176240936977133,"2003-12"
2016-05-31,65657,"18947","PA","Philadelphia","Bucks","Plumstead Township",9974,381900,0.00183630640083945,0.00209918656520598,0.00236220472440945,0.0104256716882514,-0.00678361118846216,"2005-11","2005-Q4",417100,-0.0843922320786382,"2005-02"
2016-05-31,78003,"46164","IN","Indianapolis","Johnson","Princes Lakes",9975,172100,-0.000580720092915215,0,0.0500305064063453,0.0269126969729236,0.0284513481282713,"2015-11","2015-Q4",176200,-0.0232690124858116,"2015-08"
2016-05-31,65107,"17555","PA","Lancaster","Lancaster","Caernarvon Township",9976,225000,-0.00354295837023915,0.0022271714922049,0.00401606425702811,-0.00290779441876643,-0.00365862263589478,"2008-11","2008-Q4",244700,-0.0805067429505517,"2006-01"
2016-05-31,93956,"82636","WY","Casper","Natrona","Evansville",9977,208300,-0.0038259206121473,-0.0127962085308057,0.0337468982630273,0.0199607836738525,0.0248889684565039,"2016-02","2016-Q1",211000,-0.0127962085308057,"2015-10"
2016-05-31,94179,"83455","ID","Jackson","Teton","Victor",9978,322500,0.0062402496099844,0.0109717868338558,0.0939620081411126,0.0307356532752472,0.0109231187866503,"2009-07","2009-Q3",395100,-0.183750949126803,"2008-03"
2016-05-31,99728,"98339","WA",,"Jefferson","Port Hadlock",9979,215000,0.00938967136150235,0.0208926875593542,0.0760760760760761,0.0466149643184592,0.000700364686793575,"2008-02","2008-Q1",238300,-0.097775912715065,"2006-12"
2016-05-31,79130,"48320","MI","Detroit","Oakland","Keego Harbor",9980,153900,-0.000649350649350649,0.00918032786885246,0.0599173553719008,0.105989831967359,-0.0104228565508044,"2005-12","2005-Q4",176800,-0.129524886877828,"2002-05"
2016-05-31,66237,"20141","VA","Washington","Loudoun","Round Hill",9981,440300,0.000909297567629007,0.0082436455232425,0.0237154150197628,0.0344540991032283,-0.017813847155385,"2006-02","2006-Q1",534000,-0.175468164794007,"2004-12"
2016-05-31,63198,"13637","NY","Watertown","Jefferson","Le Ray",9982,147300,-0.0140562248995984,-0.0219123505976096,-0.0206117021276596,0.00384573913335506,0.0207945821542312,"2015-11","2015-Q4",155000,-0.0496774193548387,"2015-04"
2016-05-31,63566,"14510","NY","Rochester","Livingston","Mount Morris",9983,72900,0.00275103163686382,-0.00409836065573771,-0.0201612903225806,-0.000547795453477939,0.00493230109761433,"2014-04","2014-Q2",78900,-0.0760456273764259,"2011-05"
2016-05-31,64884,"17053","PA","Harrisburg","Perry","Marysville",9984,150300,0,0.0114401076716016,0.00333778371161549,0.00513471133769228,0.00583854652533722,"2007-12","2007-Q4",154700,-0.0284421460892049,"2007-06"
2016-05-31,63736,"14801","NY","Corning","Steuben","Town of Addison",9985,79500,-0.00250941028858218,-0.00749063670411985,0.0488126649076517,0.0299321202352969,0.0340117793605208,"2015-11","2015-Q4",80900,-0.0173053152039555,"2015-08"
2016-05-31,84290,"60021","IL","Chicago","McHenry","Fox River Grove",9986,209600,0.00866217516843118,0.0209449585971749,0.0433051269288203,0.018652647469044,-0.0212799172317732,"2007-02","2007-Q1",261900,-0.199694539900725,"2003-05"
2016-05-31,75408,"39740","MS","Columbus","Lowndes","Caledonia",9987,151200,0.0100200400801603,0.0334928229665072,0.0700636942675159,0.0264461584123135,0.0291860089647606,"2009-07","2009-Q3",168700,-0.103734439834025,"2008-12"
2016-05-31,62834,"12919","NY","Plattsburgh","Clinton","Town of Champlain",9988,97600,-0.00509683995922528,-0.0220440881763527,-0.0355731225296443,-0.00464760475193882,0.0110993670116994,"2014-04","2014-Q2",103900,-0.0606352261790183,"2013-09"
2016-05-31,71206,"30563","GA","Cornelia","Habersham","Mount Airy",9989,119700,0.00503778337531486,0.0169923534409516,0.0764388489208633,0.0533640440096168,0.00559886003798926,"2008-02","2008-Q1",123000,-0.0268292682926829,"2007-05"
2016-05-31,65531,"18610","PA","East Stroudsburg","Monroe","Tunkhannock Township",9990,118800,0.00422654268808115,0.0008424599831508,0.00253164556962025,-0.0195109456746516,-0.0388690241812946,"2006-09","2006-Q3",179000,-0.336312849162011,"2002-05"
2016-05-31,66770,"21087","MD","Baltimore","Baltimore","Kingsville",9991,352400,-0.000567214974475326,-0.00169971671388102,0.0268065268065268,0.0128534461847813,-0.0156235964802075,"2007-04","2007-Q2",416100,-0.153088199951935,"2005-04"
2016-05-31,60980,"08091","NJ","Philadelphia","Camden","Berlin Township",9992,160900,0.00249221183800623,0.00751408891671885,0.005625,-0.00550155642125683,-0.021420629741626,"2007-05","2007-Q2",207000,-0.222705314009662,"2004-10"
2016-05-31,77027,"44127","OH","Cleveland","Cuyahoga","Cleveland",9993,39700,0.00506329113924051,0.0205655526992288,-0.0050125313283208,-0.0298705105140891,,"2010-08","2010-Q3",49800,-0.20281124497992,
2016-05-31,65320,"18041","PA","Philadelphia","Montgomery","East Greenville",9994,200300,-0.00939663699307616,-0.0108641975308642,0.0362131401965856,0.00332802841708668,-0.0100548794918214,"2008-07","2008-Q3",224900,-0.109381947532237,"2005-04"
2016-05-31,64146,"15530","PA","Somerset","Somerset","Berlin",9995,112800,0.00624442462087422,0.0463821892393321,0.0512581547064306,0.047597169101036,0.0110107988170109,"2008-05","2008-Q2",113500,-0.00616740088105727,"2008-04"
2016-05-31,71207,"30564","GA","Gainesville","Hall","Murrayville",9996,172800,0.00816802800466744,0.0206733608978145,0.0686456400742115,0.0443433884174926,-0.00517375286825361,"2008-05","2008-Q2",188600,-0.0837751855779427,"2005-09"
2016-05-31,78931,"48049","MI","Detroit","Saint Clair","North Street",9997,144100,0.00488145048814505,0.0219858156028369,0.0974866717440975,0.0583927311310291,-0.0142264226431278,"2005-05","2005-Q2",169400,-0.149350649350649,"2000-11"
2016-05-31,97263,"93434","CA","Santa Maria-Santa Barbara","Santa Barbara","Guadalupe",9998,244100,0.00494030465212021,0.0217664294683968,0.0907059874888293,0.104060747223406,-0.0367612562153684,"2006-06","2006-Q2",355600,-0.31355455568054,"2004-06"
2016-05-31,63596,"14546","NY","Rochester","Monroe","Scottsville",9999,125700,-0.00396196513470681,-0.0055379746835443,0.0128928283642224,0.013583383560543,0.0127885100318712,"2016-03","2016-Q1",126500,-0.00632411067193676,"2015-12"
2016-05-31,60842,"07856","NJ","New York","Morris","Mount Arlington",10000,313900,0.00576738224927908,0.0268236833496892,0.0783236001374098,0.00623141638270508,-0.0190830182076801,"2006-06","2006-Q2",381900,-0.178057083006023,"2004-07"
2016-05-31,92997,"79536","TX","Abilene","Taylor","Merkel",10001,88200,0.00113507377979569,0.0149597238204833,0.20656634746922,0.0793801294405012,,"2016-05","2016-Q2",88200,0,"2016-05"
2016-05-31,95926,"89451","NV","Reno","Washoe","Incline Village",10002,639400,0.00835830310676549,0.00788146279949559,0.0405207485760781,0.0637655199452225,-0.00884409304308731,"2006-08","2006-Q3",723600,-0.116362631288004,"2004-12"
2016-05-31,65490,"18452","PA","Scranton","Lackawanna","Blakely",10003,126500,0.00237717908082409,0.00957701516360734,0.0343417825020442,0.0109431676854035,0.000316756676474794,"2007-04","2007-Q2",136000,-0.0698529411764706,"2006-08"
2016-05-31,65191,"17814","PA","Bloomsburg","Columbia","Benton Township",10004,130400,0.00307692307692308,-0.00458015267175573,0.00772797527047913,0.0210521989374191,0.0219010119854923,"2015-09","2015-Q3",135900,-0.0404709345106696,"2015-07"
2016-05-31,74582,"38006","TN","Jackson","Crockett","Bells",10005,79500,0.00125944584382872,-0.00250941028858218,0.03515625,0.0323512475895718,-0.00100075883577555,"2006-09","2006-Q3",81600,-0.0257352941176471,"2006-01"
2016-05-31,77258,"44644","OH","Canton","Carroll","Malvern",10006,137100,0.00513196480938416,0.00734753857457752,-0.066712049012934,0.035780958683846,0.0130738302344899,"2015-02","2015-Q1",149000,-0.0798657718120805,"2013-02"
2016-05-31,77281,"44672","OH","Youngstown","Mahoning","Sebring",10007,48900,-0.00407331975560081,-0.00204081632653061,-0.0994475138121547,-0.0189179797923036,-0.0274596384103145,"2006-11","2006-Q4",68900,-0.290275761973875,"1998-08"
2016-05-31,59053,"03223","NH","Claremont","Grafton","Campton",10008,152500,0.0132890365448505,0.0207496653279786,-0.00586701434159061,0.00144889965112704,-0.0139492397155042,"2007-06","2007-Q2",186400,-0.1818669527897,"2004-10"
